time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T12:43:23.840Z,34.4596667,-117.9606667,8.28,1.38,ml,45,30,0.01155,0.21,ci,ci40488144,2023-06-18T13:23:36.910Z,"7km SW of Pearblossom, CA",earthquake,0.23,0.54,0.155,27,reviewed,ci,ci
2023-06-18T12:43:21.740Z,34.457,-117.9678333,9.66,0.13,ml,14,71,0.01304,0.16,ci,ci40488136,2023-06-18T12:47:08.665Z,"7km SSE of Littlerock, CA",earthquake,0.39,0.54,0.059,3,automatic,ci,ci
2023-06-18T12:37:01.030Z,34.1005,-117.3163333,13.6,0.75,ml,16,187,0.1175,0.15,ci,ci40488128,2023-06-18T13:22:48.397Z,"3km N of Colton, CA",earthquake,0.66,0.83,0.171,13,reviewed,ci,ci
2023-06-18T12:36:29.890Z,38.7991676,-122.7956696,1.09,1.04,md,11,75,0.0183,0.05,nc,nc73902521,2023-06-18T14:18:15.893Z,"4km NW of The Geysers, CA",earthquake,0.31,0.79,0.1,12,automatic,nc,nc
2023-06-18T12:33:38.580Z,33.2741667,-116.4345,3.18,1.29,ml,41,67,0.0157,0.22,ci,ci40488120,2023-06-18T13:24:44.460Z,"6km WNW of Borrego Springs, CA",earthquake,0.3,0.51,0.148,26,reviewed,ci,ci
2023-06-18T12:33:03.160Z,18.0125,-66.7403333333333,14.09,2.21,md,10,175,0.1311,0.12,pr,pr71413873,2023-06-18T12:44:40.210Z,"Puerto Rico region",earthquake,0.44,1.06,0.0301108289201308,5,reviewed,pr,pr
2023-06-18T12:28:54.032Z,64.6257,-149.2486,11.7,0.7,ml,,,,0.26,ak,ak0237rp4yxn,2023-06-18T12:30:07.908Z,"Central Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-18T12:27:38.920Z,38.8348351,-122.793663,1.78,0.36,md,9,83,0.004411,0.01,nc,nc73902516,2023-06-18T13:52:12.732Z,"6km WNW of Cobb, CA",earthquake,0.41,1.15,0.25,10,automatic,nc,nc
2023-06-18T11:42:58.770Z,38.8373337,-122.829834,2.26,0.73,md,10,93,0.004589,0.02,nc,nc73902511,2023-06-18T12:21:14.225Z,"9km NW of The Geysers, CA",earthquake,0.34,0.86,0.24,11,automatic,nc,nc
2023-06-18T11:19:19.705Z,60.1174,-152.6135,94,1.4,ml,,,,0.33,ak,ak0237rohj8i,2023-06-18T11:20:58.001Z,"Southern Alaska",earthquake,,1,,,automatic,ak,ak
2023-06-18T11:17:19.900Z,38.838665,-122.8310013,2.03,0.72,md,13,107,0.003504,0.01,nc,nc73902496,2023-06-18T11:50:11.060Z,"9km NW of The Geysers, CA",earthquake,0.3,0.71,0.14,13,automatic,nc,nc
2023-06-18T11:07:52.650Z,38.8248329,-122.8218307,2.86,0.43,md,9,135,0.009295,0.07,nc,nc73902486,2023-06-18T11:29:15.938Z,"8km NW of The Geysers, CA",earthquake,0.85,1.81,0.21,10,automatic,nc,nc
2023-06-18T10:58:58.730Z,38.8383331,-122.8296661,1.93,1.7,md,29,101,0.004553,0.05,nc,nc73902481,2023-06-18T12:59:16.430Z,"9km NW of The Geysers, CA",earthquake,0.19,0.32,0.16,25,automatic,nc,nc
2023-06-18T10:49:29.509Z,35.13118362,-97.52709198,2.905846119,1.92,ml,23,46.7509613,0.05804100633,0.432067691,ok,ok2023lvty,2023-06-18T10:52:35.001Z,"4 km WSW of Goldsby, Oklahoma",earthquake,2.338918433,1.878815986,0.16,15,automatic,ok,ok
